"E3.5_ICM_R1"	"E3.5_ICM_R2"	"E3.5_ICM_R3"	"E4.5_EPI_R1"	"E4.5_EPI_R2"	"E4.5_EPI_R3"	"E5.5_EPI_R1"	"E5.5_EPI_R2"	"E5.5_EPI_R3"
"ENSMUSG00000102693"	3	0	0	0	1	2	1	1	0
"ENSMUSG00000064842"	1	0	0	0	0	0	0	0	0
"ENSMUSG00000051951"	2	7	0	1	5	2	1	0	8
"ENSMUSG00000102851"	1	1	0	0	0	0	0	0	0
"ENSMUSG00000103377"	1	4	1	1	2	0	0	0	0
"ENSMUSG00000104017"	15	14	4	8	9	11	5	6	2
"ENSMUSG00000103025"	56	52	33	11	18	36	43	55	10
"ENSMUSG00000089699"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103201"	9	5	1	1	1	1	3	0	1
"ENSMUSG00000103147"	0	1	0	0	0	1	0	0	0
"ENSMUSG00000103161"	3	4	1	1	3	4	0	2	3
"ENSMUSG00000102331"	114	144	12	49	53	43	94	36	544
"ENSMUSG00000102348"	8	0	2	0	0	4	0	1	0
"ENSMUSG00000102592"	7	2	0	1	0	3	2	2	6
"ENSMUSG00000088333"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000102343"	6	1	1	12	11	17	4	0	1
"ENSMUSG00000025900"	10	13	2	3	9	10	6	2	6
"ENSMUSG00000102948"	12	23	19	9	7	36	18	25	4
"ENSMUSG00000104123"	4	3	0	0	0	1	4	8	11
"ENSMUSG00000025902"	2573	1790	1721	5	24	13	6	9	17
"ENSMUSG00000104238"	0	0	0	0	0	0	0	0	1
"ENSMUSG00000102269"	305	246	33	26	16	28	9	7	13
"ENSMUSG00000096126"	3	0	0	0	0	0	0	0	2
"ENSMUSG00000103003"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000104328"	7	7	1	0	6	2	2	5	1
"ENSMUSG00000102735"	21	26	18	2	4	22	14	9	4
"ENSMUSG00000098104"	1930	1982	730	437	1439	1198	1223	1523	635
"ENSMUSG00000102175"	4	8	2	0	5	5	0	1	2
"ENSMUSG00000088000"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000103265"	19	4	15	7	2	23	3	2	2
"ENSMUSG00000103922"	1242	1004	492	213	220	313	293	192	329
"ENSMUSG00000033845"	34943	33266	28780	12182	13431	41336	24901	16299	29983
"ENSMUSG00000102275"	1068	939	270	169	664	581	265	241	95
"ENSMUSG00000025903"	5256	7085	2978	2073	7329	19898	3692	2020	13313
"ENSMUSG00000104217"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000033813"	3405	5013	5383	1896	1924	7115	3151	1270	7745
"ENSMUSG00000062588"	25	34	34	17	13	34	18	5	15
"ENSMUSG00000103280"	7	6	4	10	1	2	1	2	1
"ENSMUSG00000002459"	38	18	5	4	23	14	16	12	6
"ENSMUSG00000091305"	188	107	18	12	37	15	39	64	26
"ENSMUSG00000102653"	12	10	3	6	6	2	3	13	4
"ENSMUSG00000085623"	2	12	0	0	2	6	5	6	5
"ENSMUSG00000091665"	6	2	1	0	1	8	2	2	1
"ENSMUSG00000033793"	4688	1597	8408	2736	1076	8307	2402	2279	2809
