"","Geneid","Length"
"1","ENSMUSG00000102693",1070
"2","ENSMUSG00000064842",110
"3","ENSMUSG00000051951",6094
"4","ENSMUSG00000102851",480
"5","ENSMUSG00000103377",2819
"6","ENSMUSG00000104017",2233
"7","ENSMUSG00000103025",2309
"8","ENSMUSG00000089699",250
"9","ENSMUSG00000103201",2057
"10","ENSMUSG00000103147",926
"11","ENSMUSG00000103161",3012
"12","ENSMUSG00000102331",3259
"13","ENSMUSG00000102348",1634
"14","ENSMUSG00000102592",2351
"15","ENSMUSG00000088333",58
"16","ENSMUSG00000102343",1364
"17","ENSMUSG00000025900",12311
"18","ENSMUSG00000102948",1867
"19","ENSMUSG00000104123",1484
"20","ENSMUSG00000025902",4772
"21","ENSMUSG00000104238",2917
"22","ENSMUSG00000102269",2991
"23","ENSMUSG00000096126",107
"24","ENSMUSG00000103003",450
"25","ENSMUSG00000104328",2773
"26","ENSMUSG00000102735",936
"27","ENSMUSG00000098104",1470
"28","ENSMUSG00000102175",1206
"29","ENSMUSG00000088000",103
"30","ENSMUSG00000103265",631
"31","ENSMUSG00000103922",1069
"32","ENSMUSG00000033845",8487
"33","ENSMUSG00000102275",1150
"34","ENSMUSG00000025903",7145
"35","ENSMUSG00000104217",825
"36","ENSMUSG00000033813",3017
"37","ENSMUSG00000062588",603
"38","ENSMUSG00000103280",1111
"39","ENSMUSG00000002459",4239
"40","ENSMUSG00000091305",272
"41","ENSMUSG00000102653",2135
"42","ENSMUSG00000085623",3725
"43","ENSMUSG00000091665",1588
"44","ENSMUSG00000033793",9746
"45","ENSMUSG00000104352",732
"46","ENSMUSG00000104046",2279
"47","ENSMUSG00000102907",2032
"48","ENSMUSG00000025905",9151
"49","ENSMUSG00000103936",394
"50","ENSMUSG00000093015",101
"51","ENSMUSG00000103519",1799
"52","ENSMUSG00000033774",3692
"53","ENSMUSG00000103090",1083
"54","ENSMUSG00000025907",14690
"55","ENSMUSG00000090031",5428
"56","ENSMUSG00000087247",971
"57","ENSMUSG00000103355",639
"58","ENSMUSG00000102706",473
"59","ENSMUSG00000103845",4530
"60","ENSMUSG00000033740",6464
"61","ENSMUSG00000103329",2915
"62","ENSMUSG00000104385",663
"63","ENSMUSG00000102135",626
"64","ENSMUSG00000103282",30
"65","ENSMUSG00000102534",325
"66","ENSMUSG00000102213",159
"67","ENSMUSG00000103629",641
